term,reading,meaning,pos,source_scope,source_type,difficulty,notes
身分,みぶん,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
未来,みらい,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
魅力,みりょく,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
民族,みんぞく,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
向かう,むかう,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
向く,むく,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
向ける,むける,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
結ぶ,むすぶ,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
無駄,むだ,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
胸,むね,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
無理,むり,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
芽,め,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
命令,めいれい,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
迷惑,めいわく,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
恵まれる,めぐまれる,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
目立つ,めだつ,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
めでたい,めでたい,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
面接,めんせつ,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
めんどう,めんどう,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
設ける,もうける,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
申し訳ない,もうしわけない,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
毛布,もうふ,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
